file,class,method,variable,usage
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\game\Game.java,pong.game.Game,stop/0,e,1
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\game\Game.java,pong.game.Game,stopGame/1[int],code,1
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\game\Game.java,pong.game.Game,render/0,bs,4
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\game\Game.java,pong.game.Game,render/0,g,3
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\game\Game.java,pong.game.Game,run/0,lastTime,2
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\game\Game.java,pong.game.Game,run/0,now,3
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\game\Game.java,pong.game.Game,run/0,FPS,1
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\game\Game.java,pong.game.Game,run/0,delta,3
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\game\Game.java,pong.game.Game,run/0,timePerTick,1
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\main\Main.java,pong.main.Main,main/1[java.lang.String[]],args,0
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\main\Main.java,pong.main.Main,main/1[java.lang.String[]],game,1
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\MenuState.java,pong.states.MenuState,checkKeyPressed/1[int],cod,1
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\MenuState.java,pong.states.MenuState,render/1[java.awt.Graphics],g,14
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\MenuState.java,pong.states.MenuState,render/1[java.awt.Graphics],i,6
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\GameState.java,pong.states.GameState,render/1[java.awt.Graphics],g,17
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\GameState.java,pong.states.GameState,checkKeyPressed/1[int],cod,0
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\GameState.java,pong.states.GameState,start/0,r,2
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\States.java,pong.states.States,render/1[java.awt.Graphics],g,0
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\States.java,pong.states.States,checkKeyPressed/1[int],cod,0
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\elements\Player.java,pong.elements.Player,setYPosition/1[int],posY,3
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\elements\Player.java,pong.elements.Player,"Player/3[int,int,int]",posX,1
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\elements\Player.java,pong.elements.Player,"Player/3[int,int,int]",posY,1
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\elements\Player.java,pong.elements.Player,"Player/3[int,int,int]",side,4
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\elements\Player.java,pong.elements.Player,move/1[int],l,2
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\view\Tela.java,pong.view.Tela,"Tela/3[java.lang.String,int,int]",width,3
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\view\Tela.java,pong.view.Tela,"Tela/3[java.lang.String,int,int]",title,1
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\view\Tela.java,pong.view.Tela,"Tela/3[java.lang.String,int,int]",height,3
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\view\Tela.java,pong.view.Tela,setKeyListener/1[java.awt.event.KeyListener],kl,1
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\StateManager.java,pong.states.StateManager,render/1[java.awt.Graphics],g,1
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\StateManager.java,pong.states.StateManager,setState/1[int],state,1
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\HelpState.java,pong.states.HelpState,render/1[java.awt.Graphics],g,20
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\HelpState.java,pong.states.HelpState,render/1[java.awt.Graphics],i,17
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\HelpState.java,pong.states.HelpState,checkKeyPressed/1[int],cod,0
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\input\KeyManager.java,pong.input.KeyManager,keyReleased/1[java.awt.event.KeyEvent],e,3
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\input\KeyManager.java,pong.input.KeyManager,keyPressed/1[java.awt.event.KeyEvent],e,4
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\input\KeyManager.java,pong.input.KeyManager,keyTyped/1[java.awt.event.KeyEvent],e,0
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\FPSState.java,pong.states.FPSState,render/1[java.awt.Graphics],g,7
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\FPSState.java,pong.states.FPSState,render/1[java.awt.Graphics],fps,2
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\FPSState.java,pong.states.FPSState,render/1[java.awt.Graphics],font,2
D:\Estudo\PUCPR\quarto_periodo\pucpr-vv-ponggame\PongGame\.\src\pong\states\FPSState.java,pong.states.FPSState,checkKeyPressed/1[int],cod,0
